,youtuber,firstName,itemInSession,lastName,length,sessionId,video,userId
94,Daughtry,Aleena,12,Kirby,249.91302000000002,157,No Surprise,44.0
95,Air,Chloe,1,Cuevas,212.21832,179,Playground Love,49.0
96,Sam Cooke,Lily,49,Koch,122.04363000000001,172,Ain't Misbehavin,15.0
97,Live,Aleena,13,Kirby,203.28444,157,Deep Enough,44.0
98,Everclear,Lily,50,Koch,222.61506,172,Summerland,15.0
99,Alison Krauss / Union Station,Aleena,14,Kirby,129.67138,157,Down To The River To Pray,44.0
100,The All-American Rejects,Lily,51,Koch,239.22893,172,Move Along,15.0
101,Covenant,Aleena,15,Kirby,300.19872999999995,157,XRDS,44.0
102,You Me At Six,Aiden,0,Hess,191.13751000000002,189,Liquid Confidence,86.0
103,Motion City Soundtrack,Lily,52,Koch,206.34077,172,Everything Is Alright (Album Version),15.0
104,FM Static,Lily,53,Koch,169.84771,172,Something To Believe In,15.0
105,Dave Gahan,Lily,54,Koch,272.92689,172,Kingdom,15.0
106,Metallica,Lily,55,Koch,319.73832000000004,172,Mama Said,15.0
107,Dr. Hook,Lily,56,Koch,229.77261000000001,172,Sylvia's Mother,15.0
108,Gotan Project,Lily,57,Koch,321.30567,172,Diferente,15.0
109,Carrie Underwood,Lily,58,Koch,221.3873,172,Play On,15.0
110,Ut,Lily,59,Koch,313.86077,172,I.D.,15.0
111,Lil Wayne / Eminem,Lily,60,Koch,229.58975,172,Drop The World,15.0
112,Damage,Lily,61,Koch,263.18322,172,For Your Pleasure,15.0
113,Rionegro / SolimÃÂµes,Lily,62,Koch,280.92036,172,De SÃÂ£o Paulo ÃÂ BelÃÂ©m,15.0
114,Drive-By Truckers,Lily,63,Koch,246.22975,172,Outfit,15.0
115,Tweet,Lily,64,Koch,256.39137999999997,172,Smoking Cigarettes (LP Version),15.0
116,Ben Folds Five,Lily,65,Koch,207.882,172,Steven's Last Night In Town,15.0
117,Glen Hansard,Lily,66,Koch,239.59465,172,Lies,15.0
118,Chevelle,Adler,0,Barrera,389.85098,174,Dos (LP Version),100.0
119,Bill Withers,Lily,67,Koch,383.73832000000004,172,Make Love To Your Mind,15.0
120,Jorge Drexler,Adler,1,Barrera,272.14322000000004,174,Salvapantallas,100.0
121,Michael Bolton,Lily,68,Koch,255.65995,172,How Am I Supposed To Live Without You,15.0
122,The Mercury Program,Adler,2,Barrera,449.12280999999996,174,Marianas,100.0
123,Duran Duran,Lily,69,Koch,321.88036,172,The Seventh Stranger,15.0
124,Little Boots,Lily,70,Koch,195.94404,172,Meddle,15.0
125,Johnossi,Lily,71,Koch,174.2624,172,Glory Days To Come,15.0
126,BjÃÂ¶rk,Lily,72,Koch,348.57751,172,Undo,15.0
127,Black Eyed Peas,Lily,73,Koch,226.37669,172,Hey Mama,15.0
128,DecembeRadio,Lily,74,Koch,249.62567,172,Find You Waiting,15.0
129,Bonobo,Lily,75,Koch,270.41913999999997,172,1009,15.0
130,,Tegan,0,Levine,,194,,80.0
131,Five Iron Frenzy,Tegan,1,Levine,236.09423999999999,194,Canada,80.0
132,Morcheeba,Tegan,2,Levine,347.71546,194,The Sea,80.0
133,The Avett Brothers,Tegan,3,Levine,307.9571,194,All My Mistakes (US4BW0700133),80.0
134,Dave Darell,Aiden,0,Hess,217.33832,197,Children,86.0
135,,Ryan,0,Smith,,183,,26.0
136,Priestess,Ryan,1,Smith,190.45832,183,Talk To Her,26.0
137,Arcade Fire,Ryan,2,Smith,169.19465,183,I'm Sleeping In A Submarine,26.0
138,Daft Punk,Ryan,3,Smith,211.69587,183,Crescendolls,26.0
139,Nickel Creek,Ryan,4,Smith,255.13751000000002,183,When In Rome,26.0
140,Squeeze,Ryan,5,Smith,229.56363,183,Footprints,26.0
141,Creedence Clearwater Revival,Samuel,0,Gonzalez,175.80363,60,Sweet Hitch-Hiker,61.0
142,Kierra Sheard,Samuel,1,Gonzalez,299.02322000000004,60,Love Like Crazy (Extended Mix),61.0
143,,Aiden,0,Hess,,201,,86.0
144,,Aiden,1,Hess,,201,,86.0
145,,Aiden,2,Hess,,201,,86.0
146,,Aiden,3,Hess,,201,,86.0
147,,Mohammad,0,Rodriguez,,193,,88.0
148,Greg Laswell,Mohammad,1,Rodriguez,251.08853,193,Comes And Goes ( In Waves ),88.0
149,,Mohammad,2,Rodriguez,,193,,88.0
150,Pavement,Mohammad,3,Rodriguez,99.16036,193,Mercy:The Laundromat,88.0
151,Sixx A.M.,Mohammad,4,Rodriguez,280.58077000000003,193,Courtesy Call (Explicit),88.0
152,Leonard Cohen,Mohammad,5,Rodriguez,267.67627999999996,193,I'm Your Man,88.0
153,The Tallest Man On Earth,Joseph,0,Gutierrez,203.62403999999998,167,The Wild Hunt,75.0
154,My Chemical Romance,Joseph,1,Gutierrez,161.90649,167,Teenagers (Album Version),75.0
155,Wendy Rene,Joseph,2,Gutierrez,182.46485,167,After Laughter (Comes Tears) (LP Version),75.0
156,Jack Johnson / Paula Fuga,Joseph,3,Gutierrez,178.33751,167,Country Road,75.0
157,Tub Ring,Joseph,4,Gutierrez,233.69097999999997,167,Invalid,75.0
158,No Doubt,Mohammad,0,Rodriguez,44.93016,205,BND,88.0
159,Katy Perry,Mohammad,1,Rodriguez,179.40853,205,I Kissed A Girl,88.0
160,Neutral Milk Hotel,Joseph,5,Gutierrez,248.37179,167,Ghost,75.0
161,Dwight Yoakam,Ava,0,Robinson,239.3073,156,You're The One,50.0
162,Ella Fitzgerald,Joseph,6,Gutierrez,427.15382999999997,167,On Green Dolphin Street (Medley) (1999 Digital Remaster),75.0
163,Tony Rohr,Ava,1,Robinson,403.09506,156,Van Comp,50.0
164,Braid,Joseph,7,Gutierrez,222.74567000000002,167,Divers,75.0
165,Fourmost,Joseph,8,Gutierrez,113.6322,167,Hello Little Girl,75.0
166,Catupecu Machu,Joseph,9,Gutierrez,212.32281,167,Hormigas,75.0
167,Creed,Joseph,10,Gutierrez,329.87383,167,Weathered,75.0
168,Ennio Morricone,Joseph,11,Gutierrez,215.01342000000002,167,Chi Mai (El Profesional),75.0
169,,Joseph,12,Gutierrez,,167,,75.0
170,Down To The Bone,Sylvie,0,Cruz,333.76608,182,Keep On Keepin' On,10.0
171,Three Drives,Sylvie,1,Cruz,411.6371,182,Greece 2000,10.0
172,,Austin,0,Rosales,,11,,12.0
173,Sebastien Tellier,Sylvie,2,Cruz,377.73016,182,Kilometer,10.0
174,Lonnie Gordon,Sylvie,3,Cruz,181.21098,182,Catch You Baby (Steve Pitron & Max Sanna Radio Edit),10.0
175,Charttraxx Karaoke,Ava,0,Robinson,225.17506,207,Fireflies,50.0
176,Ska-P,Ava,1,Robinson,220.21178999999998,207,NiÃÂ±o Soldado,50.0
177,Dwight Yoakam,Ava,2,Robinson,239.3073,207,You're The One,50.0
178,Radiohead,Ayleen,0,Wise,130.82076999999998,70,Pop Is Dead,71.0
179,Scouting for Girls,Ayleen,1,Wise,201.1424,70,The Mountains Of Navaho,71.0
180,Alliance Ethnik,Ayleen,2,Wise,195.94404,70,SinceritÃÂ© Et Jalousie,71.0
181,OutKast,Ayleen,3,Wise,227.52607999999998,70,Ova Da Wudz,71.0
182,Bloodhound Gang,Kaleb,0,Cook,260.20526,53,Uhn Tiss Uhn Tiss Uhn Tiss,54.0
183,Rammstein,Isaac,0,Valdez,228.46649,112,Adios,3.0
184,Gershon Kingsley,Isaac,1,Valdez,146.57261,112,Pop Corn,3.0
185,The Rakes,Isaac,2,Valdez,150.59546,112,Strasbourg,3.0
186,,,0,,,52,,
187,,Celeste,1,Williams,,52,,53.0
188,Mynt,Celeste,2,Williams,166.94812,52,Playa Haters,53.0
189,Taylor Swift,Celeste,3,Williams,230.47791,52,You Belong With Me,53.0
190,Amy Winehouse,Celeste,4,Williams,229.85098,52,Valerie,53.0
191,Jimmy Eat World,Celeste,5,Williams,285.83137999999997,52,Dizzy,53.0
192,,,0,,,18,,
193,Maldita Nerea,Anabelle,0,Simpson,241.162,158,Supelicula,69.0
194,Fluke,Connar,0,Moreno,478.92852999999997,168,Bermuda,62.0
195,Habib KoitÃÂ©,Jayden,0,Fox,285.1522,185,Din Din Wo,101.0
196,The Kooks,Sara,0,Johnson,132.25751,152,Eddie's Gun,95.0
197,Blues Traveler,Sara,1,Johnson,290.24608,152,Hook,95.0
198,Coldplay,Sara,2,Johnson,298.762,152,Shiver,95.0
199,Tom Petty And The Heartbreakers,Sara,3,Johnson,183.01342,152,The Wild One_ Forever,95.0
200,Girl Talk,Sara,4,Johnson,173.24363,152,Give and Go,95.0
201,Florence + The Machine,Sara,5,Johnson,258.55955,152,Cosmic Love,95.0
202,Three Drives,Sara,6,Johnson,411.6371,152,Greece 2000,95.0
203,Jonas Brothers,Sara,7,Johnson,192.36526,152,Sorry,95.0
204,Tevin Campbell,Sara,8,Johnson,293.04118,152,Round And Round (Soul Mix Edit),95.0
205,Sting,Sara,9,Johnson,257.12281,152,Windmills Of Your Mind,95.0
206,The Champs,Sara,10,Johnson,132.0224,152,Tequila,95.0
207,RÃÂ¶yksopp,Sara,11,Johnson,214.93506000000002,152,Poor Leno Jakatta Radio Mix,95.0
208,Avenged Sevenfold,Sara,12,Johnson,312.11057,152,Bat Country (Album Version),95.0
209,,Sylvie,0,Cruz,,210,,10.0
210,Sam Cooke,Sara,13,Johnson,122.04363000000001,152,Ain't Misbehavin,95.0
211,Apulanta,Sara,14,Johnson,219.53261,152,Hallaa,95.0
212,Era,Sara,15,Johnson,200.56771,152,Cathar Rhythm,95.0
213,Klaus Badelt,Sylvie,1,Cruz,128.62649,210,Moonlight Serenade,10.0
214,Parov Stelar,Sara,16,Johnson,281.5473,152,KissKiss,95.0
215,Florence + The Machine,Lily,0,Koch,290.48118,199,Rabbit Heart (Raise It Up),15.0
216,De La Soul,Sara,17,Johnson,221.72689,152,Me_ Myself & I,95.0
217,Lil Wayne / T-Pain,Sara,18,Johnson,244.58404,152,Got Money,95.0
218,Cher,Lily,1,Koch,167.41832,199,Milord,15.0
219,Edge Of Dawn,Lily,2,Koch,253.72689,199,Losing Ground,15.0
220,The Black Keys,Sara,19,Johnson,223.84281000000001,152,Elevator,95.0
221,Smokie Norful,Lily,3,Koch,337.84118,199,I Need You Now (Build A Bridge Version),15.0
222,Adam Lambert,Sara,20,Johnson,227.39546,152,Whataya Want From Me,95.0
223,Pulp,Sara,21,Johnson,208.95302,152,Little Girl (With Blue Eyes),95.0
224,Alliance Ethnik,Lily,4,Koch,265.76934,199,Creil City,15.0
225,Tricky,Sara,22,Johnson,212.79302,152,Ponderosa,95.0
226,John Butler Trio,Lily,5,Koch,223.68607999999998,199,Betterman (full-length/album version),15.0
227,Culture Club,Sara,23,Johnson,282.48771,152,Believe (Demo),95.0
228,The Temper Trap,Lily,6,Koch,192.67873,199,Fader,15.0
229,La Mosca Tse-Tse,Sara,24,Johnson,195.082,152,Patadas En El Corazon,95.0
230,Cute Is What We Aim For,Lily,7,Koch,201.22077,199,Finger Twist & Split (Album Version),15.0
231,Jack Johnson,Sara,25,Johnson,236.72117999999998,152,Bubble Toes,95.0
232,Siriusmo,Lily,8,Koch,272.61342,199,Simple,15.0
233,Creedence Clearwater Revival,Sara,26,Johnson,312.89423999999997,152,Feelin' Blue,95.0
234,Alberto Plaza,Lily,9,Koch,271.3073,199,No Seas Cruel (vivo),15.0
235,Brand New,Sara,27,Johnson,188.49913999999998,152,Not The Sun,95.0
236,Sean Lennon,Lily,10,Koch,202.97098,199,Into The Sun,15.0
237,K-OS,Sara,28,Johnson,211.33016,152,EMCEE Murdah,95.0
238,Nana Caymmi,Lily,11,Koch,251.0624,199,Acercate Mas (2000 Digital Remaster),15.0
239,Casino Versus Japan,Sara,29,Johnson,86.30812,152,Moonlupe,95.0
240,the bird and the bee,Sara,30,Johnson,281.23382999999995,152,Ray Gun,95.0
241,Skyforger,Lily,12,Koch,38.94812,199,In the Yard of the Father's Son,15.0
242,Bryan Ferry,Lily,13,Koch,265.87383,199,Slave To Love (1999 Digital Remaster),15.0
243,The Black Keys,Sara,31,Johnson,196.91057,152,All Hands Against His Own,95.0
244,Foxy Shazam,Lily,14,Koch,201.74322,199,Wanna-be Angel (Album Version),15.0
245,The Ruts,Sara,32,Johnson,338.96443999999997,152,West One (Shine On Me),95.0
246,Old 97's,Lily,15,Koch,231.28771,199,Victoria (LP Version),15.0
247,Lonnie Gordon,Lily,16,Koch,181.21098,199,Catch You Baby (Steve Pitron & Max Sanna Radio Edit),15.0
248,Bon Iver,Sara,33,Johnson,220.70812,152,For Emma,95.0
249,Florence + The Machine,Lily,17,Koch,219.66322000000002,199,Dog Days Are Over (Radio Edit),15.0
250,Glen Washington,Sara,34,Johnson,193.82811999999998,152,One Of These Days,95.0
251,Mad Cobra,Lily,18,Koch,230.68688999999998,199,Flex,15.0
252,Dropout Year,Sara,35,Johnson,227.36934,152,This Notebook,95.0
253,Flogging Molly,Lily,19,Koch,260.75383,199,Punch Drunk Grinning Soul,15.0
254,Young Rebel Set,Sara,36,Johnson,248.55465,152,If I Was,95.0
255,Sneaker Pimps,Lily,20,Koch,260.91057,199,Spin Spin Sugar,15.0
256,Righteous Brothers,Sara,37,Johnson,215.90159,152,Unchained Melody,95.0
257,Me First And The Gimme Gimmes,Sara,38,Johnson,64.39138,152,Jonny's Blessing,95.0
258,Texas In July,Lily,21,Koch,190.69342,199,Aurora,15.0
259,Alice In Chains,Sara,39,Johnson,230.60852999999997,152,God Smack,95.0
260,,Sara,40,Johnson,,152,,95.0
261,10 Years,Lily,22,Koch,229.95546000000002,199,Wasteland,15.0
262,Juanes,Lily,23,Koch,233.40363,199,No Siento Penas,15.0
263,,Sara,41,Johnson,,152,,95.0
264,,Sara,42,Johnson,,152,,95.0
265,Cat Stevens,Sara,43,Johnson,200.202,152,Wild World,95.0
266,Passion Pit,Lily,24,Koch,174.75873,199,Sleepyhead,15.0
267,The Temper Trap,Sara,44,Johnson,192.67873,152,Fader,95.0
268,OneRepublic,Lily,25,Koch,224.67872999999997,199,Secrets,15.0
269,Diplo,Sara,45,Johnson,96.86159,152,Florida,95.0
270,Afro Celt Sound System,Sara,46,Johnson,425.01179,152,Even In My Dreams,95.0
271,PeterLicht,Lily,26,Koch,306.80771,199,Heiterkeit,15.0
272,,Lily,27,Koch,,199,,15.0
273,M.A. Numminen,Sara,47,Johnson,166.55628000000002,152,TULENLIEKKI,95.0
274,,Sara,48,Johnson,,152,,95.0
275,Limp Bizkit,Sara,49,Johnson,214.5171,152,Rollin' (Air Raid Vehicle),95.0
276,Downhere,Sara,50,Johnson,230.71302000000003,152,In America (Album Version),95.0
277,Roots Manuva,Sara,51,Johnson,233.92607999999998,152,No Love,95.0
278,Lykke Li,Sara,52,Johnson,162.19383,152,Let It Fall,95.0
279,Plan B,Sara,53,Johnson,222.82404,152,Free,95.0
280,Octopus Project,Sara,54,Johnson,498.33750999999995,152,Hypnopaedia,95.0
281,OneRepublic,Sara,55,Johnson,224.67872999999997,152,Secrets,95.0
282,Gilberto Santa Rosa,Sara,56,Johnson,272.16934,152,La Sigo Amando Tanto,95.0
283,Eric Clapton,Sara,57,Johnson,271.80363,152,Tears In Heaven,95.0
284,ARRESTED DEVELOPMENT,Sara,58,Johnson,200.98567,152,Fountain Of Youth,95.0
285,,Sara,59,Johnson,,152,,95.0
286,Future Rock,Sara,60,Johnson,239.90812000000003,152,Gears,95.0
287,Steppenwolf,Sara,61,Johnson,208.14321999999999,152,Born To Be Wild,95.0
288,Jason Mraz & Colbie Caillat,Sara,62,Johnson,189.6224,152,Lucky (Album Version),95.0
289,Leonard Cohen,Sara,63,Johnson,298.57914,152,The Stranger Song,95.0
290,Bright Eyes,Ayla,0,Johnson,279.09179,135,Kathy with a K's Song,63.0
291,,Chloe,0,Cuevas,,195,,49.0
292,The Smiths,Chloe,1,Cuevas,196.67546000000002,195,The Boy With The Thorn In His Side,49.0
293,Quique Gonzalez,Chloe,2,Cuevas,214.20362999999998,195,Cuando Eramos Reyes,49.0
294,Muse,Chloe,3,Cuevas,210.46812000000003,195,Pink Ego Box,49.0
295,Sugarland,Cecilia,0,Owens,247.77097999999998,5,Just Might (Make Me Believe),6.0
296,A Hope For Home,Cecilia,1,Owens,388.38812,5,Absolution: Of Flight and Failure,6.0
297,,Theodore,0,Smith,,154,,52.0
298,Professor Longhair,Ann,0,Banks,214.20362999999998,124,Mean Ol'World,99.0
299,,Jahiem,0,Miles,,42,,43.0
300,Gary Hobbs,Jahiem,1,Miles,245.52444,42,En Mi Mundo,43.0
301,Lifehouse,Jahiem,2,Miles,203.59791,42,We'll Never Know,43.0
302,Olivia Ruiz,Jahiem,3,Miles,254.74567000000002,42,Cabaret Blanco,43.0
303,,Cecilia,0,Owens,,225,,6.0
304,Jordan Rudess,Cecilia,1,Owens,1367.84934,225,Tarkus,6.0
305,Deerhunter,Jayden,0,Graves,162.08934,128,Weird Era,25.0
306,Daughtry,Jayden,1,Graves,249.91302000000002,128,No Surprise,25.0
307,,Jayden,2,Graves,,128,,25.0
308,,,3,,,128,,
309,,,4,,,128,,
310,,Jayden,5,Graves,,128,,25.0
311,Vinylshakerz,Jayden,6,Graves,207.25506000000001,128,Club Tropicana,25.0
312,Barry Tuckwell/Academy of St Martin-in-the-Fields/Sir Neville Marriner,Jayden,7,Graves,277.15873,128,Horn Concerto No. 4 in E flat K495: II. Romance (Andante cantabile),25.0
313,Son House,Jayden,8,Graves,182.43873,128,Depot Blues,25.0
314,Jason Mraz & Colbie Caillat,Jayden,9,Graves,189.6224,128,Lucky (Album Version),25.0
315,The Romantics,Jayden,10,Graves,233.7171,128,Talking In Your Sleep,25.0
316,The Postal Service,Jayden,11,Graves,266.47465,128,Such Great Heights,25.0
317,Tweet,Jayden,12,Graves,281.80852999999996,128,Always Will (LP Version),25.0
318,Gang Starr/Inspectah Deck,Jayden,13,Graves,225.07057000000003,128,Above The Clouds (Edited),25.0
319,Kanye West,Jayden,14,Graves,164.38812,128,Coldest Winter,25.0
320,Shunza,Jayden,15,Graves,250.93178999999998,128,Nan Ni Wan,25.0
321,Erykah Badu,Jayden,16,Graves,286.9024,128,Back In The Day,25.0
322,,Jayden,17,Graves,,128,,25.0
323,,Jayden,18,Graves,,128,,25.0
324,Mariza,Maia,0,Burke,239.3073,143,Vielas De Alfama,51.0
325,,Jayden,19,Graves,,128,,25.0
326,,Jayden,20,Graves,,128,,25.0
327,,Jayden,21,Graves,,128,,25.0
328,Asia 2001,Jayden,22,Graves,150.30812,128,Epilogue,25.0
329,Alejandro Sanz,Maia,1,Burke,230.24281000000002,143,Non E_ Per Te_ Per Me,51.0
330,The Casualties,Jayden,23,Graves,131.23873,128,Fight For Your Life,25.0
331,Alliance Ethnik,Jayden,24,Graves,252.21178999999998,128,ReprÃÂ©sente,25.0
332,Hey Monday,Jayden,25,Graves,222.98077,128,Run_ Don't Walk,25.0
333,Silverchair,Jayden,26,Graves,213.13261,128,The Door,25.0
334,El DeBarge,Jayden,27,Graves,323.47382999999996,128,Love Always,25.0
335,Evanescence,Jayden,28,Graves,236.12036,128,Bring Me To Life,25.0
336,,Jayden,29,Graves,,128,,25.0
337,Ludovico Einaudi,Jayden,30,Graves,249.02485,128,The Snow Prelude No. 2,25.0
338,Caifanes,Jayden,31,Graves,210.88608,128,Ayer Me Dijo Un Ave,25.0
339,The xx,Jayden,32,Graves,188.55138,128,Basic Space,25.0
340,Swizz Beatz,Jayden,33,Graves,213.7073,128,Big Munny,25.0
341,OutKast,Jayden,34,Graves,239.35955,128,Ms. Jackson,25.0
342,The Black Keys,Jayden,35,Graves,300.30322,128,The Only One,25.0
343,Nappy Roots [featuring Anthony Hamilton],Jayden,36,Graves,248.00607999999997,128,Po' Folks,25.0
344,Whitesnake,Jayden,37,Graves,250.3571,128,Fool For Your Loving,25.0
345,Foolish Things,Jayden,38,Graves,266.86649,128,Who Can Compare,25.0
346,Soda Stereo,Jayden,39,Graves,317.6224,128,PrÃÂ³fugos,25.0
